,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
171,cabo san lucas,88.0,58,-109.91,22.89,40,MX,11.41,1603668334
172,carnarvon,71.6,83,113.63,-24.87,75,AU,18.34,1603668335
173,olinda,80.6,74,-34.86,-8.01,20,BR,4.7,1603668041
174,viedma,55.99,43,-63.0,-40.81,0,AR,1.99,1603668114
175,college,34.0,79,-147.8,64.86,75,US,3.49,1603668056
176,mukhtolovo,40.03,88,43.2,55.46,61,RU,6.42,1603668337
177,ilulissat,12.2,61,-51.1,69.22,74,GL,3.36,1603668085
178,mahenge,65.44,87,36.72,-8.68,64,TZ,4.76,1603668338
179,eureka,69.01,54,-124.16,40.8,0,US,3.0,1603668203
180,manuk mangkaw,82.54,78,119.85,4.8,99,PH,15.73,1603668339
181,vestmanna,42.8,87,-7.17,62.16,10,FO,6.93,1603668091
182,bloemhof,77.27,30,25.61,-27.65,99,ZA,13.6,1603668339
183,ahipara,68.9,64,173.17,-35.17,3,NZ,6.2,1603668341
184,obo,69.91,96,26.49,5.4,100,CF,3.04,1603668341
185,iquique,64.4,72,-70.14,-20.22,90,CL,16.11,1603668119
186,faanui,80.74,68,-151.75,-16.48,34,PF,7.14,1603668342
187,cao bang,66.54,83,106.25,22.67,88,VN,1.19,1603668343
188,vanimo,80.64,82,141.3,-2.67,100,PG,2.3,1603668343
189,mount pleasant,73.99,94,-79.86,32.79,20,US,4.7,1603668344
190,vostok,32.9,95,135.88,46.49,75,RU,1.52,1603668046
191,progreso,84.2,70,-89.67,21.28,75,MX,11.41,1603668124
192,kawhia,72.0,66,174.82,-38.07,24,NZ,4.0,1603668345
193,deolali,69.39,68,73.83,19.95,0,IN,3.09,1603668345
194,yar-sale,11.43,96,70.83,66.83,69,RU,10.16,1603668346
195,dubinino,27.68,96,89.09,55.62,100,RU,9.17,1603668347
196,hithadhoo,83.39,68,73.08,-0.6,55,MV,6.31,1603668068
197,alofi,77.0,83,-169.92,-19.06,90,NU,11.41,1603668348
198,nikolskoye,43.0,93,30.79,59.7,90,RU,6.71,1603668194
199,wolomin,54.0,90,21.24,52.34,65,PL,8.05,1603668349
200,yaring,77.11,88,101.37,6.87,100,TH,5.75,1603668350
201,bull savanna,77.41,88,-77.59,17.89,100,JM,13.4,1603668350
202,houston,75.2,88,-95.36,29.76,90,US,14.99,1603668187
203,hambantota,78.24,80,81.12,6.12,97,LK,10.42,1603668266
204,kem,30.11,96,34.58,64.96,98,RU,3.47,1603668351
205,gainesville,80.6,69,-82.32,29.65,20,US,3.36,1603668055
206,hami,38.05,67,93.45,42.8,23,CN,3.15,1603668352
207,severo-kurilsk,44.96,84,156.12,50.68,91,RU,5.93,1603668068
208,swan river,22.19,90,-101.27,52.11,82,CA,10.13,1603668353
